;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
WPM Mechanical;;;;;;;;;;;;;;;
1;72;68;0;70;55;51;69;58;61;59;58;60;54;68;70
2;62;70;54;71;53;54;70;60;63;62;59;59;62;65;72
3;57;72;57;68;58;58;73;64;65;65;61;62;61;67;74
ave;63.7;70.0;37.0;69.7;55.3;54.3;70.7;60.7;63.0;62.0;59.3;60.3;59.0;66.7;72.0
Accuracy Mechanical;;;;;;;;;;;;;;;
1;96.2;98;26;91;96.4;95.7;97.6;95.1;94.5;95.2;94.7;95.8;94.8;91.5;96.5
2;92;96;78;90;97.6;95.4;97.7;95.4;94.8;95.6;95.1;96.3;91.2;94.3;98.2
3;90.8;96.7;69;98;98.1;96.1;98.1;96.1;95.1;96.1;96.4;94.5;92.6;96.8;91.4
ave;93.0;96.9;57.7;93.0;97.4;95.7;97.8;95.5;94.8;95.6;95.4;95.5;92.9;94.2;95.4
WPM Membrane;;;;;;;;;;;;;;;
1;55;67;65;68;53;52;65;58;58;61;57;64;57;54;67
2;58;64;66;70;54;54;63;61;60;64;61;65;59;58;64
3;55;64;61;69;51;58;58;60;63;65;63;57;61;56;69
ave;56.0;65.0;64.0;69.0;52.7;54.7;62.0;59.7;60.3;63.3;60.3;62.0;59.0;56.0;66.7
Accuracy Membrane;;;;;;;;;;;;;;;
1;95;94;92;98;97.5;95.7;96.2;94.2;94.2;95.4;95.2;95.4;96;94.5;97.5
2;95.9;92;94;92;98.1;97.2;96.8;95.3;94.5;95.7;94.9;94.6;94.8;93.2;96.8
3;98.6;97;86;90.8;98.8;97.7;97.5;95.6;94.9;96.2;95.3;96;93.5;95.7;95.5
ave;96.5;94.3;90.7;93.6;98.1;96.9;96.8;95.0;94.5;95.8;95.1;95.3;94.8;94.5;96.6
